Epoch,Training_Loss,Training_Accuracy,Test_Loss,Test_Accuracy,Precision,Recall,F1_Score,Macro_F1,LR,Epoch_Time,Total_Time
1,1.0937939091066344,78.66073909419283,0.3796203388617589,95.75,0.9400489034026771,0.9575,0.9479306376562245,0.8689212861762226,0.00016046270215355524,11.860547065734863,11.860548496246338
2,0.19378598940979064,96.80466796332314,0.32641664376625645,88.5,0.9204234129114865,0.885,0.8772535907701533,0.8924085982330151,0.000325603082606623,9.991785049438477,21.925246715545654
3,0.08442909013381046,98.08280077799388,0.2368766963481903,91.25,0.9326121750764826,0.9125,0.9093450896133547,0.9246171893032278,0.0005510441029731648,10.140150547027588,32.06569170951843
4,0.04982133592124534,98.44401222561822,0.04497894182657966,99.0,0.9908888888888889,0.99,0.9900801710977618,0.985331786910922,0.0007762045487304441,10.398064851760864,42.46401381492615
5,0.055425530859986236,98.41622672964712,0.09289895513883004,96.25,0.9659066150450079,0.9625,0.9620783606108151,0.9463544667772913,0.0009405786022403089,10.237200021743774,52.76373887062073
6,0.033846772864380585,98.91636565712697,0.6896724517528827,85.25,0.9115879405416192,0.8525,0.8165031604088081,0.7989491702686814,0.0009999990150999915,10.276955127716064,63.04095220565796
7,0.028284307844013253,99.0830786329536,0.0621604330081027,98.25,0.9833170311714429,0.9825,0.9825131753241049,0.9800268376524801,0.0009872548079705855,10.311628103256226,73.35283589363098
8,0.018518376455691734,99.52764656849125,0.05232386459381534,98.75,0.9882975589225589,0.9875,0.9874562040326806,0.989252417094684,0.0009501026822584634,10.435518741607666,83.78861498832703
9,0.012652433028421983,99.63878855237566,0.01280597844979808,99.75,0.9975555555555556,0.9975,0.997501158345882,0.9978454766593305,0.0008904056006805975,10.393803358078003,94.18268132209778
10,0.018316040093568225,99.74993053626007,0.018499230952246412,99.75,0.9975480769230769,0.9975,0.9974783521385463,0.9963264235108896,0.0008111570241806062,10.545934200286865,104.79285454750061
11,0.01719212837099679,99.69435954431786,0.0001687926237722378,100.0,1.0,1.0,1.0,1.0,0.0007163308072974359,10.54013729095459,115.33324909210205
12,0.005178145543406604,99.88885801611559,0.00011938317741174623,100.0,1.0,1.0,1.0,1.0,0.000610681932505407,10.52109169960022,125.91916179656982
13,0.00852847086117331,99.83328702417339,0.03361742657674682,99.25,0.9929326923076922,0.9925,0.9924790331974372,0.993500291205591,0.0004995080755378743,10.559711933135986,136.4791624546051
14,0.005576332421165652,99.9166435120867,0.015356311448994058,99.75,0.9977777777777778,0.9975,0.9975580973129994,0.9928830791575891,0.00038838395780478835,10.59859323501587,147.07802319526672
15,0.005449530726249239,99.88885801611559,0.008911675943926261,99.75,0.9975520833333333,0.9975,0.9975002712967986,0.9979164405860012,0.00028288180658319196,10.71299934387207,157.7913110256195
16,0.00589260298725783,99.88885801611559,4.314886147391497e-06,100.0,1.0,1.0,1.0,1.0,0.0001882919402739537,10.669575214385986,168.46116852760315
17,0.000513456944315447,99.9722145040289,0.004815204024241584,99.75,0.9975555555555556,0.9975,0.997501158345882,0.9978454766593305,0.00010935748974670329,10.652670621871948,179.11415648460388
18,0.00024730523603162444,99.9722145040289,1.6740891740333416e-05,100.0,1.0,1.0,1.0,1.0,5.003655795243809e-05,10.754722118377686,189.8691782951355
19,0.00039072994109803596,99.9722145040289,2.1778116150570008e-05,100.0,1.0,1.0,1.0,1.0,1.3303744113961867e-05,10.837534427642822,200.7070095539093
20,0.00018036837815265871,100.0,9.783656687638416e-06,100.0,1.0,1.0,1.0,1.0,1.0009849000085833e-06,10.785902976989746,211.49317288398743
